epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,107.675,0.32746,0.4401,0.84157,0.94204,0.9681,0.98912,0.95189,0.31589,0.3547,0.75524,0.000297226,0.000297226,0.000297226
85,108.889,0.35044,0.4501,0.86601,0.96267,0.97917,0.99,0.95525,0.32647,0.32289,0.75936,0.000280723,0.000280723,0.000280723
86,110.125,0.31754,0.40843,0.84406,0.97316,0.97917,0.991,0.94462,0.32477,0.30918,0.75769,0.00026422,0.00026422,0.00026422
87,111.346,0.34564,0.43839,0.86319,0.97736,0.97917,0.991,0.94222,0.33374,0.32114,0.75625,0.000247716,0.000247716,0.000247716
88,112.557,0.31626,0.41797,0.84451,0.98259,0.97917,0.991,0.94016,0.34356,0.31565,0.75534,0.000231213,0.000231213,0.000231213
89,113.783,0.32113,0.41244,0.83717,0.95604,0.95833,0.99194,0.94755,0.33489,0.30702,0.75319,0.00021471,0.00021471,0.00021471
90,115,0.30865,0.40134,0.85716,0.94983,0.95833,0.99005,0.95137,0.3288,0.31234,0.75356,0.000198206,0.000198206,0.000198206
91,120.779,0.23831,0.43375,0.76204,0.93938,0.95833,0.9837,0.94751,0.32444,0.32032,0.75377,0.000181703,0.000181703,0.000181703
92,122.025,0.23627,0.38877,0.77595,0.93779,0.95833,0.96641,0.9333,0.32494,0.3277,0.75397,0.0001652,0.0001652,0.0001652
93,123.237,0.21926,0.3784,0.77434,0.93876,0.93799,0.96287,0.91894,0.32808,0.34226,0.75397,0.000148696,0.000148696,0.000148696
94,124.468,0.222,0.40131,0.77462,0.9406,0.94078,0.95917,0.90183,0.33241,0.34935,0.75415,0.000132193,0.000132193,0.000132193
95,125.695,0.22587,0.36169,0.77781,0.96529,0.95763,0.9751,0.91514,0.32971,0.33434,0.75337,0.00011569,0.00011569,0.00011569
96,126.933,0.2132,0.36995,0.78386,0.96137,0.95833,0.98714,0.9396,0.32821,0.32155,0.75122,9.91865e-05,9.91865e-05,9.91865e-05
97,128.2,0.21071,0.35281,0.77258,0.99024,0.97917,0.99,0.94335,0.32178,0.31574,0.74978,8.26832e-05,8.26832e-05,8.26832e-05
98,129.441,0.19997,0.33431,0.75707,0.98644,0.97917,0.99048,0.94413,0.31853,0.30961,0.74913,6.61799e-05,6.61799e-05,6.61799e-05
99,130.688,0.20292,0.34307,0.7676,0.98877,0.97917,0.99214,0.94428,0.31527,0.2949,0.74986,4.96766e-05,4.96766e-05,4.96766e-05
100,131.923,0.20219,0.35539,0.74861,0.98894,0.97917,0.99214,0.94977,0.31228,0.28802,0.75001,3.31733e-05,3.31733e-05,3.31733e-05
